case_key,case_id,case_name,application_numbers,application_numbers_count,primary_application_number,judgment_date_raw,judgment_year,hudoc_itemid,hudoc_importance_level,hudoc_importance_bucket,is_key_case,convention_articles,keywords,respondent_states,summary_text,citation_example,all_citation_variants_count,snapshots_count,guides_count,guide_ids,guide_titles,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,first_seen_snapshot_pdf,last_seen_snapshot_pdf,hudoc_match_status,hudoc_match_method,hudoc_query_value,hudoc_query_result_count,hudoc_docname,hudoc_appno,hudoc_doctype,hudoc_languageisocode,hudoc_kpdate,hudoc_kpdateastext,hudoc_originatingbody,hudoc_ecli,hudoc_conclusion
apps:P16-2020-002,P16-2020-002,Advisory opinion on the assessment of the proportionality of a general prohibition on standing for election after removal from office in impeachment proceedings,P16-2020-002,1,P16-2020-002,8 April 2022,2022,,,,,,,,,"Advisory opinion on the assessment of the proportionality of a general prohibition on standing for election after removal from office in impeachment proceedings, Request no. P16-2020-002, Lithuanian Supreme Administrative Court, 8 April 2022",1,5,1,0bd62693ae9f,Article 3 Protocol 1,20230923144330,20251220163343,20230923144330__guide_art_3_protocol_1_eng.pdf,20251220163343__guide_art_3_protocol_1_eng.pdf,unmatched,ambiguous_application_match,P16-2020-002 || request:P16-2020-002 || docname_raw:Advisory opinion on the assessment of the proportionality of a general prohibition on standing for election after removal from office in impeachment proceedings || text_clean:Advisory opinion on the assessment of the proportionality of a general prohibition on standing for election after removal from office in impeachment proceedings,2,,,,,,,,,
apps:30226/10,30226/10,Ali Rıza and Others v. Turkey,30226/10,1,30226/10,28 January 2020,2020,,,,,,,,,"Ali Rıza and Others v. Turkey, nos. 30226/10 and 4 others, 28 January 2020",1,10,2,4026b1621d4a|96d370a07ab1,Article 6 Civil|Article 6 Criminal,20230911235812,20260217143525,20230911235812__guide_art_6_criminal_eng.pdf,20260217143525__guide_art_6_criminal_eng.pdf,unmatched,ambiguous_application_match,30226/10 || docname_raw:Ali Rıza and Others v. Turkey || text_clean:Ali Rıza and Others v. Turkey,52,,,,,,,,,
apps:55789/19,55789/19,Almaz and Others v. Türkiye (dec.),55789/19,1,55789/19,19 November 2024,2024,,,,,,,,,"Almaz and Others v. Türkiye (dec.), nos. 55789/19 and 3 others, 19 November 2024",1,1,1,684d373b17e9,Article 11,20251210133318,20251210133318,20251210133318__guide_art_11_eng.pdf,20251210133318__guide_art_11_eng.pdf,unmatched,ambiguous_application_match,55789/19 || docname_raw:Almaz and Others v. Türkiye (dec.) || docname_clean:Almaz and Others v. Türkiye || text_clean:Almaz and Others v. Türkiye,8,,,,,,,,,
apps:37949/18,37949/18,"Andrey Rylkov Foundation and Others v. Russia,* nos. 37949/18 and 83 others",37949/18,1,37949/18,18 June 2024,2024,,,,,,,,,"Andrey Rylkov Foundation and Others v. Russia,* nos. 37949/18 and 83 others, 18 June 2024",2,2,1,684d373b17e9,Article 11,20240930063355,20251210133318,20240930063355__guide_art_11_eng.pdf,20251210133318__guide_art_11_eng.pdf,unmatched,ambiguous_application_match,"37949/18 || docname_raw:Andrey Rylkov Foundation and Others v. Russia,* nos. 37949/18 and 83 others || text_clean:Andrey Rylkov Foundation and Others v. Russia,* nos. 37949/18 and 83 others",12,,,,,,,,,
apps:25357/16,25357/16,Anthony France and Others v. the United Kingdom (dec.) [committee],25357/16,1,25357/16,26 September 2017,2017,,,,,,,,,"Anthony France and Others v. the United Kingdom (dec.) [committee], nos. 25357/16 and 3 Others, 26 September 2017",1,5,1,1900da194ee4,Article 10,20230912000014,20250918162301,20230912000014__guide_art_10_eng.pdf,20250918162301__guide_art_10_eng.pdf,unmatched,ambiguous_application_match,25357/16 || docname_raw:Anthony France and Others v. the United Kingdom (dec.) [committee] || docname_clean:Anthony France and Others v. the United Kingdom [committee] || text_clean:Anthony France and Others v. the United Kingdom [committee],1,,,,,,,,,
apps:48535/99,48535/99,Beck and Others v. the United Kingdom,48535/99,1,48535/99,22 October 2002,2002,,,,,,,,,"Beck and Others v. the United Kingdom, nos. 48535/99 and 2 others, 22 October 2002",1,4,1,e12c697e461c,Article 14,20230923093716,20250523211809,20230923093716__guide_art_14_art_1_protocol_12_eng.pdf,20250523211809__guide_art_14_art_1_protocol_12_eng.pdf,unmatched,ambiguous_application_match,48535/99 || docname_raw:Beck and Others v. the United Kingdom || text_clean:Beck and Others v. the United Kingdom,5,,,,,,,,,
apps:40832/98,40832/98,"Bellet, Huertas and Vialatte v. France (dec.)",40832/98,1,40832/98,27 April 1999,1999,,,,,,,,,"Bellet, Huertas and Vialatte v. France (dec.), nos. 40832/98 and 2 others, 27 April 1999",1,5,1,1b1f8de345be,Article 1 Protocol 1,20230923134648,20260104030038,20230923134648__guide_art_1_protocol_1_eng.pdf,20260104030038__guide_art_1_protocol_1_eng.pdf,unmatched,ambiguous_application_match,"40832/98 || docname_raw:Bellet, Huertas and Vialatte v. France (dec.) || docname_clean:Bellet, Huertas and Vialatte v. France || text_clean:Bellet, Huertas and Vialatte v. France",51,,,,,,,,,
apps:38703/06,38703/06,Boumediiene and Others v. Bosnia and Herzegovina (dec.),38703/06,1,38703/06,18 November 2008,2008,,,,,,,,,"Boumediiene and Others v. Bosnia and Herzegovina (dec.), nos. 38703/06 and 5 others, 18 November 2008",1,4,1,e19a063de5b3,Immigration,20240331051847,20251122094224,20240331051847__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,unmatched,ambiguous_application_match,38703/06 || docname_raw:Boumediiene and Others v. Bosnia and Herzegovina (dec.) || docname_clean:Boumediiene and Others v. Bosnia and Herzegovina || text_clean:Boumediiene and Others v. Bosnia and Herzegovina,6,,,,,,,,,
apps:24074/19,24074/19,"Canavcı and Others v. Türkiye,* nos. 24074/19 and 2 others",24074/19,1,24074/19,16 November 2023,2023,,,,,,,,,"Canavcı and Others v. Türkiye,* nos. 24074/19 and 2 others, 16 November 2023",2,3,1,7ff3d5fc46dd,Prisoners' rights,20240405074848,20240928174327,20240405074848__guide_prisoners_rights_eng.pdf,20240928174327__guide_prisoners_rights_eng.pdf,unmatched,ambiguous_application_match,"24074/19 || docname_raw:Canavcı and Others v. Türkiye,* nos. 24074/19 and 2 others || text_clean:Canavcı and Others v. Türkiye,* nos. 24074/19 and 2 others",14,,,,,,,,,
apps:8603/79,8603/79,Crociani and Others v. Italy,8603/79,1,8603/79,18 December 1980,1980,,,,,,,,,"Crociani and Others v. Italy, nos. 8603/79 and 3 others, Commission decision of 18 December 1980, DR 22",1,5,1,a94e3bc7e2bf,Article 13,20230911235824,20250619163138,20230911235824__guide_art_13_eng.pdf,20250619163138__guide_art_13_eng.pdf,unmatched,ambiguous_application_match,8603/79 || docname_raw:Crociani and Others v. Italy || text_clean:Crociani and Others v. Italy,20,,,,,,,,,
