case_key,case_id,case_name,guide_id,guide_title,snapshots_count,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,citation_variants_count
apps:57864/17,57864/17,A.D. and Others v. Georgia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:35765/97,35765/97,A.D.T. v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:30953/11,30953/11,A.E. v. Finland (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:7246/20,7246/20,A.H. and Others v. Germany,0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
apps:49014/16,49014/16,A.K. v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:47220/19,47220/19,A.M. and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:12956/15,12956/15,A.N. v. France (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:79885/12,79885/12,"A.P., Garçon and Nicot v. France",0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:4854/12,4854/12,A.S.B. v. the Netherlands (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:78701/14,78701/14,A.T. v. Sweden (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:7224/11,7224/11,Aghdgomelashvili and Japaridze v. Georgia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:35214/09,35214/09,Aldeguer Tomás v. Spain,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:4916/07,4916/07,Alekseyev v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:19237/16,19237/16,Association ACCEPT and Others v. Romania,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:889/19|43987/16,889/19|43987/16,B and C v. Switzerland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:b v france::1992,,B. v. France,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:67667/09,67667/09,Bayev and Others v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:8825/22|19130/22,8825/22|19130/22,Bazhenov and Semkin v. Russia*,0a61f8f7ceb0,Rights of LGBTI persons,1,20250612193940,20250612193940,1
apps:41288/15,41288/15,Beizaras and Levickas v. Lithuania,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:46712/15,46712/15,Berkman v. Russia,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:6190/11,6190/11,Bonnaud and Lecoq v. France (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:45036/98,45036/98,Bosphorus Hava Yolları Turizm ve Ticaret Anonim Şirketi v. Ireland [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:20081/19,20081/19,Buhuceanu and Others v. Romania,0a61f8f7ceb0,Rights of LGBTI persons,3,20240405124507,20250612193940,1
apps:1543/06,1543/06,Bączkowski and Others v. Poland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:29775/18|29693/19,29775/18|29693/19,C.E. and Others v. France,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:58951/18|1308/19,58951/18|1308/19,C8 (Canal 8) v. France*,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,2
apps:40183/07,40183/07,Chapin and Charpentier v. France,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:28957/95,28957/95,Christine Goodwin v. the United Kingdom [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:cossey v the united kingdom::1990,,Cossey v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:4479/06,4479/06,Courten v. the United Kingdom (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:58817/15|58252/15,58817/15|58252/15,D.B. and Others v. Switzerland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
name:dudgeon v the united kingdom::1981,,Dudgeon v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:43546/02,43546/02,E.B. v. France [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:13273/16,13273/16,E.S. v. Spain (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:39051/03,39051/03,Emonet and Others v. Switzerland,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:48420/10,48420/10,Eweida and Others v. the United Kingdom,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:17341/03,17341/03,F. v. the United Kingdom (dec.),0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:40792/10,40792/10,Fedotova and Others v. Russia [GC],0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:36515/97,36515/97,Fretté v. France,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,1
apps:25951/07,25951/07,Gas and Dubois v. France,0a61f8f7ceb0,Rights of LGBTI persons,4,20230923175405,20250612193940,2
