case_key,case_id,case_name,application_numbers,application_numbers_count,primary_application_number,judgment_date_raw,judgment_year,hudoc_itemid,hudoc_importance_level,hudoc_importance_bucket,is_key_case,convention_articles,keywords,respondent_states,summary_text,citation_example,all_citation_variants_count,snapshots_count,guides_count,guide_ids,guide_titles,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,first_seen_snapshot_pdf,last_seen_snapshot_pdf,hudoc_match_status,hudoc_match_method,hudoc_query_value,hudoc_query_result_count,hudoc_docname,hudoc_appno,hudoc_doctype,hudoc_languageisocode,hudoc_kpdate,hudoc_kpdateastext,hudoc_originatingbody,hudoc_ecli,hudoc_conclusion
apps:13013/87,13013/87,"15,000 individuals v. Sweden",13013/87,1,13013/87,14 December 1988,1988,001-319,3,,,P1-1|25|25-1|13|18,,SWE,,"15,000 individuals v. Sweden, no. 13013/87, Commission decision of 14 December 1988, DR 58, p.186",1,5,1,1b1f8de345be,Article 1 Protocol 1,20230923134648,20260104030038,20230923134648__guide_art_1_protocol_1_eng.pdf,20260104030038__guide_art_1_protocol_1_eng.pdf,matched,exact_application_set,13013/87,2,"WASA Ömsesidigt, Försäkringsbolaget Valands Pensionsstiftelse, a group of approximately 15000 individuals v. SWEDEN",13013/87,HEDEC,ENG,1988-12-14T00:00:00,14/12/1988 00:00:00,3,ECLI:CE:ECHR:1988:1214DEC001301387,inadmissible
apps:21835/06,21835/06,3A.CZ s.r.o. v. the Czech Republic,21835/06,1,21835/06,10 February 2011,2011,001-103468,3,,,6|6-1|35|35-3-b|41|P1-1|P1-1-1,,CZE,,"3A.CZ s.r.o. v. the Czech Republic, no. 21835/06, 10 February 2011",2,16,2,154b01c3289a|4026b1621d4a,Article 34/35|Article 6 Criminal,20230627221844,20260217143525,20230627221844__Admissibility_guide_ENG.pdf,20260217143525__guide_art_6_criminal_eng.pdf,matched,exact_application_set,21835/06,5,CASE OF 3A.CZ S.R.O. v. THE CZECH REPUBLIC,21835/06,HEJUD,ENG,2011-02-10T00:00:00,10/02/2011 00:00:00,23,ECLI:CE:ECHR:2011:0210JUD002183506,Remainder inadmissible;Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Enforcement proceedings;Article 6-1 - Fair hearing;Adversarial trial);Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient
apps:53251/13,53251/13,A.-M.V. v. Finland,53251/13,1,53251/13,23 March 2017,2017,001-172134,3,,,8|8-1|8-2|35|P4-2|P4-2-1,,FIN,,"A.-M.V. v. Finland, no. 53251/13, 23 March 2017",1,10,2,99cd2ce32cf8|dbfbd08a4477,Article 2 Protocol 4|Article 8,20230923050459,20260215111534,20230923050459__guide_art_8_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,53251/13,11,CASE OF A.-M.V. v. FINLAND,53251/13,HEJUD,ENG,2017-03-23T00:00:00,23/03/2017 00:00:00,4,ECLI:CE:ECHR:2017:0323JUD005325113,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);No violation of Article 2 of Protocol No. 4 - Freedom of movement-{general} (Article 2 para. 1 of Protocol No. 4 - Freedom of movement;Freedom to choose residence)
apps:55798/16,55798/16,A.A. and Others v. North Macedonia,55798/16,1,55798/16,5 April 2022,2022,002-13621,3,,,1|13|13+P4-4|34|35|35-3-a|P4-4,,MKD,,"A.A. and Others v. North Macedonia, nos. 55798/16 and 4 others, 5 April 2022",2,18,4,7a059e452dbd|7b2999efc3b7|a94e3bc7e2bf|e19a063de5b3,Article 1|Article 13|Article 4 Protocol 4|Immigration,20230911235824,20251122094224,20230911235824__guide_art_13_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,application_subset_name_year,55798/16,6,A.A. and Others v. North Macedonia,55798/16;55808/16;55817/16;55820/16;55823/16,CLIN,ENG,2022-04-05T00:00:00,05/04/2022 00:00:00,,,Preliminary objection dismissed (Art. 34) Individual applications;(Art. 34) Victim;Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione loci;No violation of Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general} (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens);No violation of Article 13+P4-4 - Right to an effective remedy (Article 13 - Effective remedy) (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general};Prohibition of collective expulsion of aliens)
apps:14499/09,14499/09,A.A. and Others v. Sweden,14499/09,1,14499/09,28 June 2012,2012,001-111553,3,,,2|3,,SWE,,"A.A. and Others v. Sweden, no. 14499/09, 28 June 2012",1,5,1,e19a063de5b3,Immigration,20230923171143,20251122094224,20230923171143__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,exact_application_set,14499/09,2,CASE OF A.A. AND OTHERS v. SWEDEN,14499/09,HEJUD,ENG,2012-06-28T00:00:00,28/06/2012 00:00:00,23,ECLI:CE:ECHR:2012:0628JUD001449909,No violation of Article 2 - Right to life (Article 2 - Extradition) (Conditional) (Yemen);No violation of Article 3 - Prohibition of torture (Article 3 - Extradition) (Conditional) (Yemen)
apps:56578/11,56578/11,A.A.K. v. Türkiye,56578/11,1,56578/11,3 October 2023,2023,001-228103,3,,,8|8-1,,TUR,,"A.A.K. v. Türkiye, no. 56578/11, 3 October 2023",1,5,1,99cd2ce32cf8,Article 8,20240618070506,20260215111534,20240618070506__guide_art_8_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,56578/11,4,CASE OF A.A.K. v. TÜRKİYE,56578/11,HEJUD,ENG,2023-10-03T00:00:00,03/10/2023 00:00:00,5,ECLI:CE:ECHR:2023:1003JUD005657811,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
apps:4677/20,4677/20,A.A. v. Sweden,4677/20,1,4677/20,13 July 2023,2023,001-225773,3,,,2|3,,SWE,,"A.A. v. Sweden, no. 4677/20, 13 July 2023",1,4,1,e19a063de5b3,Immigration,20240331051847,20251122094224,20240331051847__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,exact_application_set,4677/20,3,CASE OF A.A. v. SWEDEN,4677/20,HEJUD,ENG,2023-07-13T00:00:00,13/07/2023 00:00:00,4,ECLI:CE:ECHR:2023:0713JUD000467720,No violation of Article 2 - Right to life (Article 2 - Expulsion) (Conditional) (Libya);No violation of Article 3 - Prohibition of torture (Article 3 - Expulsion) (Conditional) (Libya)
apps:32218/17,32218/17,A.A. v. Switzerland,32218/17,1,32218/17,5 November 2019,2019,001-198459,4,,,3,,CHE,,"A.A. v. Switzerland, no. 32218/17, 5 November 2019",1,5,1,e19a063de5b3,Immigration,20230923171143,20251122094224,20230923171143__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,exact_application_set,32218/17,6,CASE OF A.A. v. SWITZERLAND,32218/17,HEJUD,ENG,2019-11-05T00:00:00,05/11/2019 00:00:00,6,ECLI:CE:ECHR:2019:1105JUD003221817,Violation of Article 3 - Prohibition of torture (Article 3 - Expulsion) (Conditional) (Afghanistan)
apps:58802/12,58802/12,A.A. v. Switzerland,58802/12,1,58802/12,7 January 2014,2014,001-139903,4,,,3|13|13+3,,CHE,,"A.A. v. Switzerland, no. 58802/12, 7 January 2014",1,5,1,e19a063de5b3,Immigration,20230923171143,20251122094224,20230923171143__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,exact_application_set,58802/12,7,CASE OF A.A. v. SWITZERLAND,58802/12,HEJUD,ENG,2014-01-07T00:00:00,07/01/2014 00:00:00,5,ECLI:CE:ECHR:2014:0107JUD005880212,No violation of Article 13+3 - Right to an effective remedy (Article 13 - Effective remedy) (Article 3 - Prohibition of torture;Expulsion)
apps:8000/08,8000/08,A.A. v. the United Kingdom,8000/08,1,8000/08,20 September 2011,2011,001-106282,3,,,8|8-1|8-2,,GBR,,"A.A. v. the United Kingdom, no. 8000/08, 20 September 2011",1,8,2,8ad6b528df3f|e19a063de5b3,Immigration|Rights of the child,20230923171143,20251122094224,20230923171143__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,exact_application_set,8000/08,8,CASE OF A.A. v. THE UNITED KINGDOM,8000/08,HEJUD,ENG,2011-09-20T00:00:00,20/09/2011 00:00:00,7,ECLI:CE:ECHR:2011:0920JUD000800008,Remainder inadmissible;Violation of Art. 8 (in case of expulsion to Nigeria)
