guide_id,guide_title,from_snapshot_date,to_snapshot_date,from_guide_version_date,to_guide_version_date,case_key,case_name,application_numbers,hudoc_itemid,hudoc_importance_level,hudoc_doctype,hudoc_conclusion,convention_articles,judgment_year,label,negative_reason,resolved_case_key,delayed_positive,right_censored,audit_flag,negative_type
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:48393/12,ABAZI v. ALBANIA,48393/12,001-223829,4,HEDEC,Inadmissible,6|6-1|6-3-c|6-3-d|35,2023,negative,published_in_window_not_added_to_guide,apps:48393/12,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:40796/19,AKKURT v. TÜRKİYE,40796/19,001-223826,4,HEDEC,Inadmissible,8|35,2023,negative,published_in_window_not_added_to_guide,apps:40796/19,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:52051/17,ATEŞ AND OTHERS v. TÜRKİYE,52051/17|52053/17|52054/17,001-224035,4,HEDEC,Inadmissible,11|35,2023,negative,published_in_window_not_added_to_guide,apps:52051/17,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:39200/16,BENZIANE v. GREECE,39200/16,001-223830,4,HEDEC,Inadmissible,8|35,2023,negative,published_in_window_not_added_to_guide,apps:39200/16,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:4746/16,BRNABIĆ v. CROATIA,4746/16,001-223824,4,HEDEC,Inadmissible,P1-1|35,2023,negative,published_in_window_not_added_to_guide,apps:4746/16,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:911/16,CĂPĂŢÎNĂ v. ROMANIA,911/16,001-223271,3,HEJUD,No violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Article 1 para. 2 of Protocol No. 1 - Control of the use of property),P1-1|P1-1-1|P1-1-2,2023,negative,published_in_window_not_added_to_guide,apps:911/16,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:14166/19,STOENESCU v. ROMANIA,14166/19,001-223272,4,HEJUD,No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing),6|6-1,2023,negative,published_in_window_not_added_to_guide,apps:14166/19,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:26605/19,HALLAÇOĞLU v. TÜRKİYE,26605/19,001-223825,4,HEDEC,Inadmissible,8|35,2023,negative,published_in_window_not_added_to_guide,apps:26605/19,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:54155/21,HANSEN v. DENMARK,54155/21,001-223836,4,HEDEC,Inadmissible,5|5-1|5-4|35,2023,negative,published_in_window_not_added_to_guide,apps:54155/21,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:40734/22,KALIŇÁK AND FICO v. SLOVAKIA,40734/22|40803/22,001-223822,4,HEDEC,Inadmissible,6|6-1|6-3-c|13|35,2023,negative,published_in_window_not_added_to_guide,apps:40734/22,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:66614/10,KOHEN AND OTHERS v. TÜRKİYE,66614/10|66656/10|66659/10,001-224034,4,HEDEC,Inadmissible,6|35,2023,negative,published_in_window_not_added_to_guide,apps:66614/10,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:22916/20,KOŞUM v. TÜRKİYE,22916/20,001-223827,4,HEDEC,Inadmissible,10|35,2023,negative,published_in_window_not_added_to_guide,apps:22916/20,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:55082/19,LEPASAAR AND SMIGELSKITE v. ESTONIA,55082/19|55095/19,001-224037,4,HEDEC,Inadmissible,13|P1-1|35,2023,negative,published_in_window_not_added_to_guide,apps:55082/19,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:80857/17,MITOV AND OTHERS v. BULGARIA,80857/17,001-223828,3,HEDEC,Inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione materiae,6|6-1|10|10-1|35|35-3-a,2023,negative,published_in_window_not_added_to_guide,apps:80857/17,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:58367/18,P.V. AND LAVOS v. PORTUGAL,58367/18,001-223833,4,HEDEC,Inadmissible,6|P1-1|35,2023,negative,published_in_window_not_added_to_guide,apps:58367/18,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:35527/19,TEKMENÜRAY AND İNCEDERE v. TÜRKİYE,35527/19|16853/20,001-224036,4,HEDEC,Inadmissible,10|35,2023,negative,published_in_window_not_added_to_guide,apps:35527/19,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:44312/19,TUTUNDŽIĆ v. BOSNIA AND HERZEGOVINA,44312/19,001-223834,4,HEDEC,Inadmissible,6|6-1|35,2023,negative,published_in_window_not_added_to_guide,apps:44312/19,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:26750/16,WIERZBICKA v. POLAND,26750/16,001-223821,4,HEDEC,Inadmissible,6|6-1|35,2023,negative,published_in_window_not_added_to_guide,apps:26750/16,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:18555/15,BASHIRLI AND OTHERS v. AZERBAIJAN,18555/15|34068/15,001-223101,4,HEJUD,Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association),11|11-1,2023,negative,published_in_window_not_added_to_guide,apps:18555/15,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:79522/13,BAYRAMOV AND IMANOV v. AZERBAIJAN,79522/13,001-223100,4,HEJUD,Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);Violation of Article 34 - Individual applications (Article 34 - Hinder the exercise of the right of application),11|11-1|34,2023,negative,published_in_window_not_added_to_guide,apps:79522/13,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:21325/16,DSHIJRI v. HUNGARY,21325/16,001-223103,4,HEJUD,Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention),5|5-1,2023,negative,published_in_window_not_added_to_guide,apps:21325/16,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:41995/15,IMRANOVA AND AHMADOVA v. AZERBAIJAN,41995/15,001-223102,4,HEJUD,Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association),11|11-1,2023,negative,published_in_window_not_added_to_guide,apps:41995/15,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:73088/13,MAHMUDOV AND OTHERS v. AZERBAIJAN,73088/13|47154/14,001-223099,4,HEJUD,Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association);Violation of Article 34 - Individual applications (Article 34 - Hinder the exercise of the right of application),11|11-1|34,2023,negative,published_in_window_not_added_to_guide,apps:73088/13,false,false,clean,easy
154b01c3289a,Article 34/35,2023-06-27,2023-10-27,2022-08-31,2023-02-28,apps:22323/16,RUSTAMZADE v. AZERBAIJAN (No. 2),22323/16,001-223104,4,HEJUD,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing);Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression),6|6-1|10|10-1|10-2,2023,negative,published_in_window_not_added_to_guide,apps:22323/16,false,false,clean,easy
