guide_id,guide_title,from_snapshot,to_snapshot,from_snapshot_date,to_snapshot_date,diff_file,case_key,case_name,application_numbers,judgment_year,citation_change,citation_text,hudoc_itemid,hudoc_importance_level,hudoc_doctype,hudoc_docname,link_status,linked_paragraph_count,linked_sections,linked_change_types,linked_paragraph_refs,linked_match_strategies,pre_text,post_text,usable_for_relevance,usable_for_location,usable_for_edit_type,usable_for_generation,strict_citation_field_match,case_text_available,case_text_path,case_text_chars
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:7246/20,A.H. and Others v. Germany,7246/20,2023,added,"A.H. and Others v. Germany, no. 7246/20, 4 April 2023",001-224238,1,HEJUD,CASE OF A.H. AND OTHERS v. GERMANY,linked_paragraphs,1,II.B.1.b: Gender recognition (i.e. the change of the sex marker on legal documents),section_moved_modified,II.B.1.b|a:132|b:70,citation_field_name_match|paragraph_text_name_match,"However, six years later, in E.B. v. France [GC], 2008, the Court reversed the position it had taken in Fretté v. France, 2002. It analysed in detail the reasons given by the French authorities for refusing the applicant (a lesbian), who was living with another woman in a stable same-sex relationship, authorisation to adopt. The Court noted that the domestic authorities had based their decisions on two main grounds, the lack of a ""paternal referent"" in the applicant' s household or immediate circle of family and friends, and the lack of commitment on the part of her partner. It added that the two grounds formed part of an overall assessment of the applicant's situation, with the result that the illegitimacy of one ground contaminated the entire decision. While the second ground was not unreasonable, the first ground was implicitly linked to the applicant's homosexuality and the authorities'reference to it was excessive in the context of a single person's request for authorisation to adopt. In sum, the applicant's sexual orientation had been consistently at the centre of deliberations in her regard and had been decisive for the decision to refuse her authorisation to adopt ( E.B. v. France [GC], 2008, §§ 72-89). Having regard to its analysis of the reasons advanced by the French authorities, the Court concluded that in refusing the applicant authorisation to adopt, they had made a distinction on the basis of her sexual orientation which was not acceptable under the Convention. The Court consequently found a violation of Article 14 taken in conjunction with Article 8 (ibid., §§ 94-98).","In O.H. and G.H. v. Germany, 2023, the Court examined the legal impossibility for a transgender parent's current gender, disconnected from biological reality, to be indicated on the birth certificate of his child conceived after gender reclassification (see also A.H. and Others v. Germany, 2023, for a similar factual context and reasoning). The Court considered that the respondent State enjoyed a wide margin of appreciation, given the lack of a European consensus on the matter, as well as the fact that the authorities had been called upon to weigh up a number of private and public interests against several competing rights. Special attention was given to the public interest in the coherence of the legal system and the accuracy and completeness of civil registration records, which records were of a particular evidential value (§§ 114-116). The Court considered that the best interests of the child had to be examined exhaustively in this context, taking into account any conflict of interest between the child and his transgender parents. It was also necessary to take account of the child's possible future interests and the interests of children who are in a comparable situation and to whom the legislative provisions in question also applied. The Court stressed that the child's well-being could not be examined individually because of his young age at the time it was necessary to determine what information to record in the birth certificate. In the view of the Federal Court of Justice, the children's interests coincided to some extent with the general interest in ensuring the reliability and consistency of the civil registration system and in ensuring legal certainty. Furthermore, the Court endorsed the approach of the domestic courts that the right to gender identity of the parents could be limited by the right of the child to know his origins, to be brought up by both parents and to be attached to them in a stable manner. The legal attachment of the child to his parents according to their reproductive functions allowed the child to be attached in a stable and immutable manner to a mother and a father who would not change, even in the not only theoretical case, where the transgender parent applied for the annulment of the decision to change their gender (§§ 123-127). Moreover, there had been a limited number of situations that could lead, when presenting a child's birth certificate, to the disclosure of the transgender identity of the parents. In particular, precautions had been in place to reduce the inconvenience to which transgender parents might be exposed (§§ 130-133). Finally, the Court had regard to the fact that the parent-child relationship between the transgender parents and their children was not affected (§ 134). In light of these factors, the Court did not find a violation of Article 8 of the Convention.",true,true,true,true,false,false,,
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:20081/19,Buhuceanu and Others v. Romania,20081/19,2023,added,"Buhuceanu and Others v. Romania, nos. 20081/19 and 20 others, 23 May 2023",002-14087,3,CLIN,Buhuceanu and Others v. Romania,linked_paragraphs,1,II.B.3.4: Civil partnerships/unions,section_moved_modified,II.B.3.4|a:80|b:81,citation_field_name_match|paragraph_text_name_match,"Fedotova and Others v. Russia [GC], 2023 concerned the absence of any form of legal recognition and protection for same-sex couples in Russia. The Court confirmed that, under Article 8, State Parties were required to ensure legal recognition and protection for same-sex couples by putting in place a ""specific legal framework"". It considered that this positive obligation on States Partieswas in line with the tangible and ongoing evolution of the domestic legislation of States Parties and of international law. Indeed, there was a clear ongoing trend within the States Parties towards legal recognition of same-sex couples (through the institution of marriage or other forms of partnership), since a majority of thirty States Parties had legislated to that effect. Accordingly, and given that particularly important facets of the personal and social identity of persons of the same sex were at stake, the Court considered that the States Parties'margin of appreciation was significantly reduced. The Russian legal framework did not provide for the core needs of recognition and protection of same-sex couples, in a stable and committed relationship, and none of the public-interest grounds put forward by the Government (traditional family values, the feelings of the majority of the Russian population and the protection of minors from promotion of homosexuality) prevailed over the applicants'interest. The Court thus concluded that the respondent State had overstepped its margin of appreciation and had failed to comply with its positive obligation to secure the applicants'right to respect for their private and family life. The Court emphasised that a democratic society within the meaning of the Convention rejects any stigmatisation based on sexual orientation and is built on the equal dignity of individuals and is sustained by diversity, which it perceives not as a threat but as a source of enrichment.","Fedotova and Others v. Russia [GC], 2023 concerned the absence of any form of legal recognition and protection for same-sex couples in Russia. The Court confirmed that, under Article 8, State Parties were required to ensure legal recognition and protection for same-sex couples by putting in place a ""specific legal framework"". It considered that this positive obligation on States Parties was in line with the tangible and ongoing evolution of the domestic legislation of States Parties and of international law. Indeed, there was a clear ongoing trend within the States Parties towards legal recognition of same-sex couples (through the institution of marriage or other forms of partnership), since a majority of thirty States Parties had legislated to that effect. Accordingly, and given that particularly important facets of the personal and social identity of persons of the same sex were at stake, the Court considered that the States Parties'margin of appreciation was significantly reduced. The Russian legal framework did not provide for the core needs of recognition and protection of same-sex couples, in a stable and committed relationship, and none of the public-interest grounds put forward by the Government (traditional family values, the feelings of the majority of the Russian population and the protection of minors from promotion of homosexuality) prevailed over the applicants'interest. The Court thus concluded that the respondent State had overstepped its margin of appreciation and had failed to comply with its positive obligation to secure the applicants'right to respect for their private and family life. The Court emphasised that a democratic society within the meaning of the Convention rejects any stigmatisation based on sexual orientation and is built on the equal dignity of individuals and is sustained by diversity, which it perceives not as a threat but as a source of enrichment (see also, Buhuceanu and Others v. Romania, 2023, §§ 75-84, for the first application of the principles established in Fedotova and Others under Article 8; and Maymulakhin and Markiv v. Ukraine, 2023, §§ 72-79, for the application of those principles under Article 14 taken in conjunction with Article 8 of the Convention).",true,true,true,true,false,true,outputs/case_texts/text/002-14087.txt,7185
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:47833/20,Lenis v. Greece (dec.),47833/20,2023,added,"Lenis v. Greece (dec.), no. 47833/20, 27 June 2023",001-226442,3,HEDEC,LENIS v. GREECE,linked_paragraphs,1,III.A.2: Hate speech,paragraph_added,III.A.2|a:None|b:97,paragraph_text_name_match,,"' Hate speech'is addressed by the Court in two ways. The first is to find that the'hate speech'in question falls within the scope of Article 17 and is thus excluded entirely from the protection of Article 10 of the Convention . The first application of this approach in the context of homophobic speech was in Lenis v. Greece (dec.), 2023, concerning the conviction of a senior Greek Orthodox Church official for an article published on his personal blog. The Court considered that on account of their content, tone and context, the expressions used in the disputed article constituted hate speech and incitement to violence against a group of people on the basis of their sexual orientation. Three additional factors reinforced that conclusion: in the first place, the applicant in his position as a senior Church official had the power to influence many people; secondly, the views expressed in the article were disseminated to a wide audience through the Internet; and thirdly, the protection of the dignity and human value of persons, irrespective of their sexual orientation, was of high importance in modern European society. Consequently, the Court applied Article 17 to find that the applicant could not claim the benefit of the protection afforded by Article 10 of the Convention (§§ 46-57).",true,true,true,true,false,true,outputs/case_texts/text/001-226442.txt,55006
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:75135/14,Maymulakhin and Markiv v. Ukraine,75135/14,2023,added,"Maymulakhin and Markiv v. Ukraine, no. 75135/14, 1 June 2023",001-224984,3,HEJUD,CASE OF MAYMULAKHIN AND MARKIV v. UKRAINE,linked_paragraphs,1,II.B.3.4: Civil partnerships/unions,section_moved_modified,II.B.3.4|a:80|b:81,citation_field_name_match|paragraph_text_name_match,"Fedotova and Others v. Russia [GC], 2023 concerned the absence of any form of legal recognition and protection for same-sex couples in Russia. The Court confirmed that, under Article 8, State Parties were required to ensure legal recognition and protection for same-sex couples by putting in place a ""specific legal framework"". It considered that this positive obligation on States Partieswas in line with the tangible and ongoing evolution of the domestic legislation of States Parties and of international law. Indeed, there was a clear ongoing trend within the States Parties towards legal recognition of same-sex couples (through the institution of marriage or other forms of partnership), since a majority of thirty States Parties had legislated to that effect. Accordingly, and given that particularly important facets of the personal and social identity of persons of the same sex were at stake, the Court considered that the States Parties'margin of appreciation was significantly reduced. The Russian legal framework did not provide for the core needs of recognition and protection of same-sex couples, in a stable and committed relationship, and none of the public-interest grounds put forward by the Government (traditional family values, the feelings of the majority of the Russian population and the protection of minors from promotion of homosexuality) prevailed over the applicants'interest. The Court thus concluded that the respondent State had overstepped its margin of appreciation and had failed to comply with its positive obligation to secure the applicants'right to respect for their private and family life. The Court emphasised that a democratic society within the meaning of the Convention rejects any stigmatisation based on sexual orientation and is built on the equal dignity of individuals and is sustained by diversity, which it perceives not as a threat but as a source of enrichment.","Fedotova and Others v. Russia [GC], 2023 concerned the absence of any form of legal recognition and protection for same-sex couples in Russia. The Court confirmed that, under Article 8, State Parties were required to ensure legal recognition and protection for same-sex couples by putting in place a ""specific legal framework"". It considered that this positive obligation on States Parties was in line with the tangible and ongoing evolution of the domestic legislation of States Parties and of international law. Indeed, there was a clear ongoing trend within the States Parties towards legal recognition of same-sex couples (through the institution of marriage or other forms of partnership), since a majority of thirty States Parties had legislated to that effect. Accordingly, and given that particularly important facets of the personal and social identity of persons of the same sex were at stake, the Court considered that the States Parties'margin of appreciation was significantly reduced. The Russian legal framework did not provide for the core needs of recognition and protection of same-sex couples, in a stable and committed relationship, and none of the public-interest grounds put forward by the Government (traditional family values, the feelings of the majority of the Russian population and the protection of minors from promotion of homosexuality) prevailed over the applicants'interest. The Court thus concluded that the respondent State had overstepped its margin of appreciation and had failed to comply with its positive obligation to secure the applicants'right to respect for their private and family life. The Court emphasised that a democratic society within the meaning of the Convention rejects any stigmatisation based on sexual orientation and is built on the equal dignity of individuals and is sustained by diversity, which it perceives not as a threat but as a source of enrichment (see also, Buhuceanu and Others v. Romania, 2023, §§ 75-84, for the first application of the principles established in Fedotova and Others under Article 8; and Maymulakhin and Markiv v. Ukraine, 2023, §§ 72-79, for the application of those principles under Article 14 taken in conjunction with Article 8 of the Convention).",true,true,true,true,false,true,outputs/case_texts/text/001-224984.txt,58021
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:39954/09|3465/17,Nepomnyashchiy and Others v. Russia,39954/09|3465/17,2023,added,"Nepomnyashchiy and Others v. Russia, nos. 39954/09 and 3465/17, 30 May 2023",001-224959,3,HEJUD,CASE OF NEPOMNYASHCHIY AND OTHERS v. RUSSIA,no_paragraph_link,0,,,,,,,false,false,false,false,false,true,outputs/case_texts/text/001-224959.txt,70769
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:53568/18|54741/18,O.H. and G.H. v. Germany,53568/18|54741/18,2023,added,"O.H. and G.H. v. Germany, nos. 53568/18 and 54741/18, 4 April 2023",001-224194,1,HEJUD,CASE OF O.H. AND G.H. v. GERMANY,linked_paragraphs,4,II.A.2: Negative and positive obligations|II.A.3: Margin of appreciation and consensus|II.B.1.b: Gender recognition (i.e. the change of the sex marker on legal documents),citation_added|section_moved_modified,II.A.2|a:46|b:46|II.A.3|a:50|b:50|II.A.3|a:53|b:53|II.B.1.b|a:132|b:70,citation_field_name_match|paragraph_text_name_match,"While the boundaries between the State's positive and negative obligations under Article 8 do not lend themselves to precise definition, the applicable principles are nonetheless similar. In determining whether or not such an obligation exists, regard must be had to the fair balance which has to be struck between the general interest and the interests of the individual: in both contexts the State enjoys a certain margin of appreciation ( B. v. France, 1992, § 44; Hämäläinen v. Finland [GC], 2014, § 67).

Where, however, there is no consensus within the member States of the Council of Europe, either as to the relative importance of the interest at stake or as to the best means of protecting it, particularly where the case raises sensitive moral or ethical issues, the margin will be wider ( X, Y and Z v. the United Kingdom, 1997, § 44; Fretté v. France, 2002, § 41; Christine Goodwin v. the United Kingdom [GC], 2002, § 85). There will also usually be a wide margin if the State is required to strike a balance between competing private and public interests or Convention rights ( Fretté v. France, 2002, § 42. See also, albeit in the context of Article 9, but of interest to the subject matter of this Guide, Eweida and Others v. the United Kingdom, 2013, § 102-110). In Eweida and Others, the disciplinary measures against the applicants (employees) for their refusal to perform functions which they held were contrary to their religious beliefs (such as counselling same-sex couples or carrying out civil partnership ceremonies as regards same-sex couples) were found not to violate their right to manifest their religion under Article 9 alone or in conjunction with Article 14, given the authorities'wide margin of appreciation when balancing between two Convention rights.

At the same time, there remain issues where there is, for the moment, no European consensus such as: ▪ the right of same-sex couples to marry, or how to deal with gender recognition in the case of a pre-existing marriage ( Hämäläinen v. Finland [GC], 2014, §§ 74-75); and ▪ registration of same-sex marriages contracted abroad ( Orlandi and Others v. Italy, 2017, § 205).

However, six years later, in E.B. v. France [GC], 2008, the Court reversed the position it had taken in Fretté v. France, 2002. It analysed in detail the reasons given by the French authorities for refusing the applicant (a lesbian), who was living with another woman in a stable same-sex relationship, authorisation to adopt. The Court noted that the domestic authorities had based their decisions on two main grounds, the lack of a ""paternal referent"" in the applicant' s household or immediate circle of family and friends, and the lack of commitment on the part of her partner. It added that the two grounds formed part of an overall assessment of the applicant's situation, with the result that the illegitimacy of one ground contaminated the entire decision. While the second ground was not unreasonable, the first ground was implicitly linked to the applicant's homosexuality and the authorities'reference to it was excessive in the context of a single person's request for authorisation to adopt. In sum, the applicant's sexual orientation had been consistently at the centre of deliberations in her regard and had been decisive for the decision to refuse her authorisation to adopt ( E.B. v. France [GC], 2008, §§ 72-89). Having regard to its analysis of the reasons advanced by the French authorities, the Court concluded that in refusing the applicant authorisation to adopt, they had made a distinction on the basis of her sexual orientation which was not acceptable under the Convention. The Court consequently found a violation of Article 14 taken in conjunction with Article 8 (ibid., §§ 94-98).","While the boundaries between the State's positive and negative obligations under Article 8 do not lend themselves to precise definition, the applicable principles are nonetheless similar. In determining whether or not such an obligation exists, regard must be had to the fair balance which has to be struck between the general interest and the interests of the individual: in both contexts the State enjoys a certain margin of appreciation ( B. v. France, 1992, § 44; Hämäläinen v. Finland [GC], 2014, § 67; O.H. and G.H. v. Germany, 2023, §§ 109-111).

Where, however, there is no consensus within the member States of the Council of Europe, either as to the relative importance of the interest at stake or as to the best means of protecting it, particularly where the case raises sensitive moral or ethical issues, the margin will be wider ( X, Y and Z v. the United Kingdom, 1997, § 44; Fretté v. France, 2002, § 41; Christine Goodwin v. the United Kingdom [GC], 2002, § 85). There will also usually be a wide margin if the State is required to strike a balance between competing private and public interests or Convention rights ( Fretté v. France, 2002, § 42; O.H. and G.H. v. Germany, 2023, § 112 and the references cited therein). See also, albeit in the context of Article 9, but of interest to the subject matter of this Guide, Eweida and Others v. the United Kingdom, 2013, § 102-110). In Eweida and Others, the disciplinary measures against the applicants (employees) for their refusal to perform functions which they held were contrary to their religious beliefs (such as counselling same-sex couples or carrying out civil partnership ceremonies as regards same-sex couples) were found not to violate their right to manifest their religion under Article 9 alone or in conjunction with Article 14, given the authorities'wide margin of appreciation when balancing between two Convention rights.

At the same time, there remain issues where there is, for the moment, no European consensus such as: ▪ the right of same-sex couples to marry, or how to deal with gender recognition in the case of a pre-existing marriage ( Hämäläinen v. Finland [GC], 2014, §§ 74-75); and ▪ registration of same-sex marriages contracted abroad ( Orlandi and Others v. Italy, 2017, § 205); ▪ the indication, in civil registration records concerning a child, of the fact that one of the persons having parental status is transgender ( O.H. and G.H. v. Germany, 2023, § 114).

In O.H. and G.H. v. Germany, 2023, the Court examined the legal impossibility for a transgender parent's current gender, disconnected from biological reality, to be indicated on the birth certificate of his child conceived after gender reclassification (see also A.H. and Others v. Germany, 2023, for a similar factual context and reasoning). The Court considered that the respondent State enjoyed a wide margin of appreciation, given the lack of a European consensus on the matter, as well as the fact that the authorities had been called upon to weigh up a number of private and public interests against several competing rights. Special attention was given to the public interest in the coherence of the legal system and the accuracy and completeness of civil registration records, which records were of a particular evidential value (§§ 114-116). The Court considered that the best interests of the child had to be examined exhaustively in this context, taking into account any conflict of interest between the child and his transgender parents. It was also necessary to take account of the child's possible future interests and the interests of children who are in a comparable situation and to whom the legislative provisions in question also applied. The Court stressed that the child's well-being could not be examined individually because of his young age at the time it was necessary to determine what information to record in the birth certificate. In the view of the Federal Court of Justice, the children's interests coincided to some extent with the general interest in ensuring the reliability and consistency of the civil registration system and in ensuring legal certainty. Furthermore, the Court endorsed the approach of the domestic courts that the right to gender identity of the parents could be limited by the right of the child to know his origins, to be brought up by both parents and to be attached to them in a stable manner. The legal attachment of the child to his parents according to their reproductive functions allowed the child to be attached in a stable and immutable manner to a mother and a father who would not change, even in the not only theoretical case, where the transgender parent applied for the annulment of the decision to change their gender (§§ 123-127). Moreover, there had been a limited number of situations that could lead, when presenting a child's birth certificate, to the disclosure of the transgender identity of the parents. In particular, precautions had been in place to reduce the inconvenience to which transgender parents might be exposed (§§ 130-133). Finally, the Court had regard to the fact that the parent-child relationship between the transgender parents and their children was not affected (§ 134). In light of these factors, the Court did not find a violation of Article 8 of the Convention.",true,true,true,true,false,false,,
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:54006/20,R.K. v. Hungary,54006/20,2023,added,"R.K. v. Hungary, no. 54006/20, 22 June 2023",001-225330,3,HEJUD,CASE OF R.K. v. HUNGARY,linked_paragraphs,1,II.B.1.b: Gender recognition (i.e. the change of the sex marker on legal documents),citation_added,II.B.1.b|a:68|b:68,citation_field_name_match|paragraph_text_name_match,"In Rana v. Hungary, (Committee judgment), 2020, there existed a legislative gap which excluded all lawfully settled non-Hungarian citizens from accessing the procedures for changing gender and name regardless of their circumstances. As a result, the authorities had rejected the applicant's application on purely formal grounds, without examining his situation. The Court thus found that, by not giving the applicant (an Iranian transgender refugee, who did not have a Hungarian birth certificate) access to the legal gender recognition procedure, a fair balance had not been struck between the public interest and the applicant's right to respect for his private life. There was therefore a violation of Article 8 of the Convention.","In Rana v. Hungary, (Committee judgment), 2020, there existed a legislative gap which excluded all lawfully settled non-Hungarian citizens from accessing the procedures for changing gender and name regardless of their circumstances. As a result, the authorities had rejected the applicant's application on purely formal grounds, without examining his situation. The Court thus found that, by not giving the applicant (an Iranian transgender refugee, who did not have a Hungarian birth certificate) access to the legal gender recognition procedure, a fair balance had not been struck between the public interest and the applicant's right to respect for his private life. There was therefore a violation of Article 8 of the Convention (see also R.K. v. Hungary, 2023, §§ 57-77).",true,true,true,true,false,true,outputs/case_texts/text/001-225330.txt,56367
0a61f8f7ceb0,Rights of LGBTI persons,20230923175405__guide_lgbti_rights_eng.pdf,20240405124507__guide_lgbti_rights_eng.pdf,2023-09-23,2024-04-05,anas-diff-dataset/0a61f8f7ceb0/diff_2023-09-23__2024-04-05.json,apps:10934/21,Semenya v. Switzerland*,10934/21,2023,added,"Semenya v. Switzerland*, no. 10934/21, 11 July 2023",001-226011,3,HEJUD,CASE OF SEMENYA v. SWITZERLAND,no_paragraph_link,0,,,,,,,false,false,false,false,false,true,outputs/case_texts/text/001-226011.txt,362243
0a61f8f7ceb0,Rights of LGBTI persons,20240405124507__guide_lgbti_rights_eng.pdf,20240613074526__guide_lgbti_rights_eng.pdf,2024-04-05,2024-06-13,anas-diff-dataset/0a61f8f7ceb0/diff_2024-04-05__2024-06-13.json,apps:28834/19,"Lapunov v. Russia, no.28834/19;",28834/19,2023,added,"Lapunov v. Russia, no.28834/19; 12 September 2023",001-226449,3,HEJUD,CASE OF LAPUNOV v. RUSSIA,no_paragraph_link,0,,,,,,,false,false,false,false,false,false,,
0a61f8f7ceb0,Rights of LGBTI persons,20240405124507__guide_lgbti_rights_eng.pdf,20240613074526__guide_lgbti_rights_eng.pdf,2024-04-05,2024-06-13,anas-diff-dataset/0a61f8f7ceb0/diff_2024-04-05__2024-06-13.json,apps:11454/17,Przybyszewska and others v. Poland,11454/17,2023,added,"Przybyszewska and others v. Poland, no. 11454/17, 12 December 2023",002-14259,3,CLIN,Przybyszewska and Others v. Poland,linked_paragraphs,1,II.B.4: Civil partnerships/unions,section_moved_modified,II.B.4|a:81|b:83,paragraph_text_name_match,"Fedotova and Others v. Russia [GC], 2023 concerned the absence of any form of legal recognition and protection for same-sex couples in Russia. The Court confirmed that, under Article 8, State Parties were required to ensure legal recognition and protection for same-sex couples by putting in place a ""specific legal framework"". It considered that this positive obligation on States Parties was in line with the tangible and ongoing evolution of the domestic legislation of States Parties and of international law. Indeed, there was a clear ongoing trend within the States Parties towards legal recognition of same-sex couples (through the institution of marriage or other forms of partnership), since a majority of thirty States Parties had legislated to that effect. Accordingly, and given that particularly important facets of the personal and social identity of persons of the same sex were at stake, the Court considered that the States Parties'margin of appreciation was significantly reduced. The Russian legal framework did not provide for the core needs of recognition and protection of same-sex couples, in a stable and committed relationship, and none of the public-interest grounds put forward by the Government (traditional family values, the feelings of the majority of the Russian population and the protection of minors from promotion of homosexuality) prevailed over the applicants'interest. The Court thus concluded that the respondent State had overstepped its margin of appreciation and had failed to comply with its positive obligation to secure the applicants'right to respect for their private and family life. The Court emphasised that a democratic society within the meaning of the Convention rejects any stigmatisation based on sexual orientation and is built on the equal dignity of individuals and is sustained by diversity, which it perceives not as a threat but as a source of enrichment (see also, Buhuceanu and Others v. Romania, 2023, §§ 75-84, for the first application of the principles established in Fedotova and Others under Article 8; and Maymulakhin and Markiv v. Ukraine, 2023, §§ 72-79, for the application of those principles under Article 14 taken in conjunction with Article 8 of the Convention).","Fedotova and Others v. Russia [GC], 2023 concerned the absence of any form of legal recognition and protection for same-sex couples in Russia. The Court confirmed that, under Article 8, State Parties were required to ensure legal recognition and protection for same-sex couples by putting in place a ""specific legal framework"". It considered that this positive obligation on States Parties was in line with the tangible and ongoing evolution of the domestic legislation of States Parties and of international law. Indeed, there was a clear ongoing trend within the States Parties towards legal recognition of same-sex couples (through the institution of marriage or other forms of partnership), since a majority of thirty States Parties had legislated to that effect. Accordingly, and given that particularly important facets of the personal and social identity of persons of the same sex were at stake, the Court considered that the States Parties' margin of appreciation was significantly reduced. The Russian legal framework did not provide for the core needs of recognition and protection of same-sex couples, in a stable and committed relationship, and none of the public-interest grounds put forward by the Government (traditional family values, the feelings of the majority of the Russian population and the protection of minors from promotion of homosexuality) prevailed over the applicants' interest. The Court thus concluded that the respondent State had overstepped its margin of appreciation and had failed to comply with its positive obligation to secure the applicants' right to respect for their private and family life. The Court emphasised that a democratic society within the meaning of the Convention rejects any stigmatisation based on sexual orientation and is built on the equal dignity of individuals and is sustained by diversity, which it perceives not as a threat but as a source of enrichment (see also, Buhuceanu and Others v. Romania, 2023, §§ 75-84, for the first application of the principles Fedotova and Others Przybyszewska and others v. Poland established in under Article 8;, 2023, §§ 120-122, in respect of Poland, and Maymulakhin and Markiv v. Ukraine, 2023, §§ 72-79, for the application of those principles under Article 14 taken in conjunction with Article 8 of the Convention).",true,true,true,true,false,true,outputs/case_texts/text/002-14259.txt,9769
